raw_text,category,confidence,reason
Samsung,公司名及简称,95,电子科技公司三星
Airbus,公司名及简称,95,航空航天公司空中客车
Berlin,地名,95,德国首都柏林
Susan,人名,90,常见英文女性名（需搭配姓氏构成全名）
John,人名,90,常见英文男性名（需搭配姓氏构成全名）
FBI,组织名及简称,95,美国联邦调查局
Barbara,人名,90,常见英文女性名（需搭配姓氏构成全名）
Walmart,公司名及简称,95,零售公司沃尔玛
Madrid,地名,95,西班牙首都马德里
Patricia,人名,90,常见英文女性名（需搭配姓氏构成全名）
WHO,组织名及简称,95,世界卫生组织
Henry,人名,90,常见英文男性名（需搭配姓氏构成全名）
IEEE,组织名及简称,90,国际电气电子工程师学会
Amnesty,组织名及简称,90,国际特赦组织（Amnesty International）简称
Tesla,公司名及简称,95,电动汽车公司特斯拉
Nations,组织名及简称,85,"常见于""United Nations""（联合国）组成部分"
MLB,组织名及简称,95,美国职业棒球大联盟
Richard,人名,90,常见英文男性名（需搭配姓氏构成全名）
Grace,人名,90,常见英文女性名（需搭配姓氏构成全名）
Alice,人名,90,常见英文女性名（需搭配姓氏构成全名）
International,组织名及简称,80,常见于国际组织名称组成部分
Microsoft,公司名及简称,95,科技公司微软
David,人名,90,常见英文男性名（需搭配姓氏构成全名）
Apple,公司名及简称,95,科技公司苹果
Mary,人名,90,常见英文女性名（需搭配姓氏构成全名）
Thomas,人名,90,常见英文男性名（需搭配姓氏构成全名）
NBA,组织名及简称,95,美国职业篮球联赛
Toronto,地名,95,加拿大城市多伦多
NATO,组织名及简称,95,北大西洋公约组织
James,人名,90,常见英文男性名（需搭配姓氏构成全名）
Christopher,人名,90,常见英文男性名（需搭配姓氏构成全名）
McDonalds,公司名及简称,95,餐饮公司麦当劳
Charlie,人名,90,常见英文中性名（需搭配姓氏构成全名）
FIFA,组织名及简称,95,国际足球联合会
Pepsi,公司名及简称,95,饮料公司百事
ACM,组织名及简称,90,国际计算机学会
Cross,组织名及简称,85,"常见于""Red Cross""（红十字会）组成部分"
G20,组织名及简称,95,二十国集团
Ivy,人名,85,常见英文女性名（需搭配姓氏构成全名）
Boeing,公司名及简称,95,航空航天公司波音
Rome,地名,95,意大利首都罗马
Michael,人名,90,常见英文男性名（需搭配姓氏构成全名）
Costco,公司名及简称,95,零售公司好市多
Red,组织名及简称,85,"常见于""Red Cross""（红十字会）组成部分"
New,地名,80,"常见于""New York""等地名组成部分"
Angeles,地名,85,"常见于""Los Angeles""（洛杉矶）组成部分"
Sarah,人名,90,常见英文女性名（需搭配姓氏构成全名）
NASA,组织名及简称,95,美国国家航空航天局
Daniel,人名,90,常见英文男性名（需搭配姓氏构成全名）
United,组织名及简称,85,"常见于""United Nations""等组织名称组成部分"
